hc-group,hc-key,hc-a2,labelrank,iso_3166_2,hasc,country,type-en,region,woe-id,longitude,subregion,woe-name,fips,latitude,postal-code,type,name,alt-name,woe-label,id
admin1,gb-ay,AY,9,GB-AGY,GB.AY,United Kingdom,Unitary Authority (wales,East Wales,12602211,-4.3787,North Wales,Anglesey County,UK93,53.2996,AY,Unitary Authority (wales),Anglesey,NA,NA,
admin1,gb-3270,OR,9,GB-ORK,GB.MO,United Kingdom,Unitary District,Highlands and Islands,12602205,-3.15683,The Islands,Orkney,UK83,58.9715,NA,Unitary District,Orkney,Elgin,NA,
admin1,gb-hi,HI,9,GB-HLD,GB.HI,United Kingdom,Unitary District,Highlands and Islands,12602203,-4.81247,Highland,Highland,UK83,57.4123,HI,Unitary District,Highland,NA,NA,
admin1,gb-ab,AB,9,GB-AGB,GB.AB,United Kingdom,Unitary District,Highlands and Islands,12696185,-5.14339,North Strathclyde,Argyll and Bute,UK83,56.2296,AB,Unitary District,Argyll and Bute,Earra-Ghaidheal agus Bňd,NA,
admin1,gb-ps,PS,9,GB-POR,GB.PS,United Kingdom,Unitary Authority,South East,12696158,-0.979793,Hampshire,Portsmouth City,UK23,50.8032,PS,Unitary Authority,Portsmouth,NA,NA,E06000044
admin1,gb-wi,WI,9,GB-ELS,GB.WI,United Kingdom,Island Area,Highlands and Islands,12602210,-6.74587,Scotland,Eilean Siar,UK89,58.1103,WI,Island Area,Eilean Siar,Western Isles,NA,
admin1,gb-my,MY,9,GB-,GB.MY,United Kingdom,District,Northern Ireland,20078320,-6.26357,North of Northern Ireland,Moyle,UK72,55.1639,MY,District,Moyle,NA,NA,
admin1,gb-7398,IO,9,GB-IOS,GB.IS,United Kingdom,Unitary Single-Tier County,South West,12602181,-4.75267,Cornwall,Cornwall and Isles of Scilly,UK08,50.4407,NA,Unitary Single-Tier County,Isles of Scilly,NA,NA,E06000053
admin1,gb-eb,EB,9,GB-EDH,GB.EB,United Kingdom,Unitary District (city),Eastern,12696195,-3.26452,Edinburgh and the Lothians,City of Edinburgh,UK84,55.9132,EB,Unitary District (city),Edinburgh,Édimbourg|Edimburgo,NA,
admin1,gb-lc,LC,9,GB-LCE,GB.LC,United Kingdom,Unitary Authority,East Midlands,12696154,-1.1183,Leicestershire,Leicester City,UK26,52.6114,LC,Unitary Authority,Leicester,NA,NA,E06000016
admin1,gb-2393,LE,9,GB-LEC,GB.,United Kingdom,Kingdom,East Midlands,12602144,-1.11707,Leicestershire,Leicestershire,UK26,52.491,NA,Home Nation|Constituent Country,Leicestershire,NA,NA,E10000018
admin1,gb-db,DB,9,GB-DBY,GB.DB,United Kingdom,Administrative County,East Midlands,12602143,-1.58946,Derbyshire,Derbyshire,UK10,52.9938,DB,Administrative County,Derbyshire,NA,NA,E10000007
admin1,gb-de,DE,9,GB-DBY,GB.DE,United Kingdom,Unitary Authority,East Midlands,12696153,-1.47157,Derbyshire,Derby City,UK10,52.8904,DE,Unitary Authority,Derby,NA,NA,E06000015
admin1,gb-an,AN,9,GB-ANN,GB.AN,United Kingdom,District,Northern Ireland,20078312,-6.26057,East of Northern Ireland,Antrim,UK52,54.6926,AN,District,Antrim,NA,NA,
admin1,gb-bl,BL,9,GB-,GB.BL,United Kingdom,District,Northern Ireland,20078313,-6.22753,East of Northern Ireland,Ballymena,UK55,54.9003,BL,District,Ballymena,NA,NA,
admin1,gb-ng,NG,9,GB-NGM,GB.NG,United Kingdom,Unitary Authority,East Midlands,12696180,-1.16592,Nottinghamshire,Nottingham City,UK33,52.9352,NG,Unitary Authority,Nottingham,NA,NA,E06000018
admin1,gb-do,DO,9,GB-DEV,GB.DO,United Kingdom,Administrative County,South West,12602182,-3.85842,Devon,Devon,UK11,50.8008,DO,Administrative County,Devon,NA,NA,E10000008
admin1,gb-2458,PA,9,GB-PKN,GB.,United Kingdom,Unitary District,Eastern,12696206,-3.88225,Tayside,Perth and Kinross,UK88,56.571,NA,Unitary District,Perthshire and Kinross,Perth and Kinross,NA,
admin1,gb-er,ER,9,GB-ERW,GB.ER,United Kingdom,Unitary District,South Western,12696194,-4.36844,Glasgow City Region,East Renfrewshire,UK87,55.7656,ER,Unitary District,East Renfrewshire,NA,NA,
admin1,gb-ea,EA,9,GB-EAY,GB.EA,United Kingdom,Unitary District,South Western,12696191,-4.29329,South Strathclyde,East Ayrshire,UK87,55.501,EA,Unitary District,East Ayrshire,NA,NA,
admin1,gb-gg,GG,9,GB-GLG,GB.GG,United Kingdom,Unitary District (city),South Western,12696198,-4.21337,Glasgow City Region,Glasgow City,UK87,55.8371,GG,Unitary District (city),Glasgow,Glasgow City,NA,
admin1,gb-ed,ED,9,GB-EDU,GB.ED,United Kingdom,Unitary District,South Western,12696192,-4.20219,Glasgow City Region,East Dunbartonshire,UK87,55.9544,ED,Unitary District,East Dunbartonshire,NA,NA,
admin1,gb-ic,IC,9,GB-IVC,GB.IC,United Kingdom,Unitary District,South Western,12696200,-4.73843,Glasgow City Region,Inverclyde,UK87,55.8983,IC,Unitary District,Inverclyde,NA,NA,
admin1,gb-2446,NA,9,GB-NAY,GB.ED,United Kingdom,Unitary District,South Western,12696203,-4.7108,South Strathclyde,North Ayrshire,UK87,55.7113,NA,Unitary District,North Ayshire,NA,NA,
admin1,gb-nn,NN,9,GB-NLK,GB.NN,United Kingdom,Unitary District,South Western,12696204,-3.9392,Glasgow City Region,North Lanarkshire,UK87,55.8694,NN,Unitary District,North Lanarkshire,NA,NA,
admin1,gb-rf,RF,9,GB-RFW,GB.RF,United Kingdom,Unitary District,South Western,12696207,-4.55373,Glasgow City Region,Renfrewshire,UK87,55.8437,RF,Unitary District,Renfrewshire,NA,NA,
admin1,gb-sa,SA,9,GB-SAY,GB.SA,United Kingdom,Unitary District,South Western,12696209,-4.73841,South Strathclyde,South Ayrshire,UK87,55.2304,SA,Unitary District,South Ayrshire,NA,NA,
admin1,gb-sl,SL,9,GB-SLK,GB.SL,United Kingdom,Unitary District,South Western,12696210,-3.82617,Glasgow City Region,South Lanarkshire,UK87,55.5981,SL,Unitary District,South Lanarkshire,NA,NA,
admin1,gb-wd,WD,9,GB-WDU,GB.WD,United Kingdom,Unitary District,South Western,12696188,-4.47635,Glasgow City Region,Dumbarton & Clydebank,UK87,55.9884,WD,Unitary District,West Dunbartonshire,Dumbarton and Clydebank,NA,
admin1,gb-ar,AR,9,GB-ABE,GB.AR,United Kingdom,Unitary District (city),North Eastern,12696182,-2.19814,Grampian,Aberdeen City,UK82,57.1676,AR,Unitary District (city),Aberdeen,Aberdeen City,NA,
admin1,gb-as,AS,9,GB-ABD,GB.AS,United Kingdom,Unitary District,North Eastern,12696183,-2.77785,Grampian,Aberdeenshire,UK82,57.236,AS,Unitary District,Aberdeenshire,NA,NA,
admin1,gb-fk,FK,9,GB-FAL,GB.FK,United Kingdom,Unitary District,Eastern,12696196,-3.75831,Central,Falkirk,UK79,55.9811,FK,Unitary District,Falkirk,NA,NA,
admin1,gb-zg,ZG,9,GB-STG,GB.ZG,United Kingdom,Unitary District,Eastern,12696211,-4.28804,Central,Stirling,UK79,56.2213,ZG,Unitary District,Stirling,NA,NA,
admin1,gb-cc,CC,9,GB-CLK,GB.CC,United Kingdom,Unitary District,Eastern,12696187,-3.70779,Central,Clackmannan,UK88,56.1431,CC,Unitary District,Clackmannanshire,NA,NA,
admin1,gb-du,DU,9,GB-DND,GB.DU,United Kingdom,Unitary District (city),Eastern,12696190,-2.94934,Tayside,Dundee City,UK84,56.4868,DU,Unitary District (city),Dundee,Dundee City,NA,
admin1,gb-fi,FI,9,GB-FIF,GB.FI,United Kingdom,Unitary District,Eastern,12602201,-3.16166,Fife,Fife,UK84,56.2201,FI,Unitary District,Fife,NA,NA,
admin1,gb-ml,ML,9,GB-MLN,GB.ML,United Kingdom,Unitary District,Eastern,12696201,-3.06592,Edinburgh and the Lothians,Midlothian,UK84,55.8241,ML,Unitary District,Midlothian,Edinburgh,NA,
admin1,gb-wh,WH,9,GB-WLN,GB.WH,United Kingdom,Unitary District,Eastern,12696212,-3.60556,Edinburgh and the Lothians,West Lothian,UK84,55.8947,WH,Unitary District,West Lothian,Linlithgow,NA,
admin1,gb-bo,BO,9,GB-SCB,GB.BO,United Kingdom,Unitary District,Eastern,12602209,-2.77899,Scottish Borders,The Scottish Borders,UK78,55.4929,BO,Unitary District,Scottish Borders,The Borders,NA,
admin1,gb-dh,DH,9,GB-DUR,GB.DH,United Kingdom,Unitary Single-Tier County,North East,12602150,-1.79965,Durham,County Durham,UK13,54.6955,DH,Unitary Single-Tier County,Durham,County Durham,NA,E06000047
admin1,gb-da,DA,9,GB-DAL,GB.DA,United Kingdom,Unitary Authority,North East,12696152,-1.53938,Durham,Darlington Borough,UK13,54.5202,DA,Unitary Authority,Darlington,NA,NA,E06000005
admin1,gb-hp,HP,9,GB-HPL,GB.HP,United Kingdom,Unitary Authority,North East,12696139,-1.27662,Durham,Hartlepool Borough,UK07,54.6625,HP,Unitary Authority,Hartlepool,NA,NA,E06000001
admin1,gb-mb,MB,9,GB-MDB,GB.MB,United Kingdom,Unitary Authority,North East,12696141,-1.23971,Durham,Middlesbrough,UK07,54.5364,MB,Unitary Authority,Middlesbrough,NA,NA,E06000002
admin1,gb-rc,RC,9,GB-RCC,GB.RC,United Kingdom,Unitary Authority,North East,12696145,-0.999287,Durham,Redcar and Cleveland Borough,UK07,54.5485,RC,Unitary Authority,Redcar and Cleveland,NA,NA,E06000003
admin1,gb-zt,ZT,9,GB-STT,GB.ZT,United Kingdom,Unitary Authority,North East,12696147,-1.32309,Durham,Stockton-on-Tees Borough,UK07,54.5378,ZT,Unitary Authority,Stockton-on-Tees,Stockton,NA,E06000004
admin1,gb-ha,HA,9,GB-HAM,GB.HA,United Kingdom,Administrative County,South East,12602169,-1.23817,Hampshire,Hampshire,UK19,51.1286,HA,Administrative County,Hampshire,Southampton,NA,E10000014
admin1,gb-zh,ZH,9,GB-STH,GB.ZH,United Kingdom,Unitary Authority,South East,12696160,-1.3776,Hampshire,Southampton City,UK19,50.9158,ZH,Unitary Authority,Southampton,NA,NA,
admin1,gb-2318,MO,9,GB-MON,GB.MM,United Kingdom,Unitary Authority (wales,West Wales and the Valleys,12602223,-2.90226,South Wales,Monmouthshire,UK92,51.7744,NA,Unitary Authority (wales),Monmouthshire,NA,NA,
admin1,gb-gc,GC,9,GB-GLS,GB.GC,United Kingdom,Administrative County,South West,12602184,-2.14862,Gloucestershire,Gloucestershire,UK16,51.8153,GC,Administrative County,Gloucestershire,NA,NA,E10000013
admin1,gb-mk,MK,9,GB-MIK,GB.MK,United Kingdom,Unitary Authority,South East,12696156,-0.72601,Buckinghamshire,Milton Keynes,UK31,52.0571,MK,Unitary Authority,Milton Keynes,NA,NA,E06000042
