id,AREA,AGE.GROUP,X2018
E92000001,England,All ages,55977178
E12000001,North East,All ages,2657909
E06000047,County Durham,All ages,526980
E06000005,Darlington,All ages,106566
E06000001,Hartlepool,All ages,93242
E06000002,Middlesbrough,All ages,140545
E06000057,Northumberland,All ages,320274
E06000003,Redcar and Cleveland,All ages,136718
E06000004,Stockton-on-Tees,All ages,197213
E11000007,Tyne and Wear (Met County),All ages,1136371
E08000037,Gateshead,All ages,202508
E08000021,Newcastle upon Tyne,All ages,300196
E08000022,North Tyneside,All ages,205985
E08000023,South Tyneside,All ages,150265
E08000024,Sunderland,All ages,277417
E12000002,North West,All ages,7292093
E06000008,Blackburn with Darwen,All ages,148942
E06000009,Blackpool,All ages,139305
E06000049,Cheshire East,All ages,380790
E06000050,Cheshire West and Chester,All ages,340502
E06000006,Halton,All ages,128432
E06000007,Warrington,All ages,209547
E10000006,Cumbria,All ages,498888
E07000026,Allerdale,All ages,97527
E07000027,Barrow-in-Furness,All ages,67137
E07000028,Carlisle,All ages,108387
E07000029,Copeland,All ages,68424
E07000030,Eden,All ages,52881
E07000031,South Lakeland,All ages,104532
E11000001,Greater Manchester (Met County),All ages,2812569
E08000001,Bolton,All ages,285372
E08000002,Bury,All ages,190108
E08000003,Manchester,All ages,547627
E08000004,Oldham,All ages,235623
E08000005,Rochdale,All ages,220001
E08000006,Salford,All ages,254408
E08000007,Stockport,All ages,291775
E08000008,Tameside,All ages,225197
E08000009,Trafford,All ages,236370
E08000010,Wigan,All ages,326088
E10000017,Lancashire,All ages,1210053
E07000117,Burnley,All ages,88527
E07000118,Chorley,All ages,116821
E07000119,Fylde,All ages,79770
E07000120,Hyndburn,All ages,80815
E07000121,Lancaster,All ages,144246
E07000122,Pendle,All ages,91405
E07000123,Preston,All ages,141818
E07000124,Ribble Valley,All ages,60057
E07000125,Rossendale,All ages,70895
E07000126,South Ribble,All ages,110527
E07000127,West Lancashire,All ages,113949
E07000128,Wyre,All ages,111223
E11000002,Merseyside (Met County),All ages,1423065
E08000011,Knowsley,All ages,149571
E08000012,Liverpool,All ages,494814
E08000014,Sefton,All ages,275396
E08000013,St. Helens,All ages,180049
E08000015,Wirral,All ages,323235
E12000003,Yorkshire and The Humber,All ages,5479615
E06000011,East Riding of Yorkshire,All ages,339614
E06000010,"Kingston upon Hull, City of",All ages,260645
E06000012,North East Lincolnshire,All ages,159821
E06000013,North Lincolnshire,All ages,172005
E06000014,York,All ages,209893
E10000023,North Yorkshire,All ages,614505
E07000163,Craven,All ages,56832
E07000164,Hambleton,All ages,91134
E07000165,Harrogate,All ages,160533
E07000166,Richmondshire,All ages,53244
E07000167,Ryedale,All ages,54920
E07000168,Scarborough,All ages,108736
E07000169,Selby,All ages,89106
E11000003,South Yorkshire (Met County),All ages,1402918
E08000016,Barnsley,All ages,245199
E08000017,Doncaster,All ages,310542
E08000018,Rotherham,All ages,264671
E08000019,Sheffield,All ages,582506
E11000006,West Yorkshire (Met County),All ages,2320214
E08000032,Bradford,All ages,537173
E08000033,Calderdale,All ages,210082
E08000034,Kirklees,All ages,438727
E08000035,Leeds,All ages,789194
E08000036,Wakefield,All ages,345038
E12000004,East Midlands,All ages,4804149
E06000015,Derby,All ages,257174
E06000016,Leicester,All ages,355218
E06000018,Nottingham,All ages,331069
E06000017,Rutland,All ages,39697
E10000007,Derbyshire,All ages,796142
E07000032,Amber Valley,All ages,126678
E07000033,Bolsover,All ages,79530
E07000034,Chesterfield,All ages,104628
E07000035,Derbyshire Dales,All ages,71977
E07000036,Erewash,All ages,115490
E07000037,High Peak,All ages,92221
E07000038,North East Derbyshire,All ages,101125
E07000039,South Derbyshire,All ages,104493
E10000018,Leicestershire,All ages,698268
E07000129,Blaby,All ages,100421
E07000130,Charnwood,All ages,182643
E07000131,Harborough,All ages,92499
E07000132,Hinckley and Bosworth,All ages,112423
E07000133,Melton,All ages,51100
E07000134,North West Leicestershire,All ages,102126
E07000135,Oadby and Wigston,All ages,57056
E10000019,Lincolnshire,All ages,755833
E07000136,Boston,All ages,69366
E07000137,East Lindsey,All ages,140741
E07000138,Lincoln,All ages,99039
E07000139,North Kesteven,All ages,115985
E07000140,South Holland,All ages,93980
E07000141,South Kesteven,All ages,141853
E07000142,West Lindsey,All ages,94869
E10000021,Northamptonshire,All ages,747622
E07000150,Corby,All ages,70827
E07000151,Daventry,All ages,84484
E07000152,East Northamptonshire,All ages,93906
E07000153,Kettering,All ages,101266
E07000154,Northampton,All ages,225146
E07000155,South Northamptonshire,All ages,92515
E07000156,Wellingborough,All ages,79478
E10000024,Nottinghamshire,All ages,823126
E07000170,Ashfield,All ages,127151
E07000171,Bassetlaw,All ages,116839
E07000172,Broxtowe,All ages,113272
E07000173,Gedling,All ages,117786
E07000174,Mansfield,All ages,108841
E07000175,Newark and Sherwood,All ages,121566
E07000176,Rushcliffe,All ages,117671
E12000005,West Midlands,All ages,5900757
E06000019,"Herefordshire, County of",All ages,192107
E06000051,Shropshire,All ages,320274
E06000021,Stoke-on-Trent,All ages,255833
E06000020,Telford and Wrekin,All ages,177799
E10000028,Staffordshire,All ages,875219
E07000192,Cannock Chase,All ages,100109
E07000193,East Staffordshire,All ages,118574
E07000194,Lichfield,All ages,103965
E07000195,Newcastle-under-Lyme,All ages,129490
E07000196,South Staffordshire,All ages,112126
E07000197,Stafford,All ages,135880
E07000198,Staffordshire Moorlands,All ages,98397
E07000199,Tamworth,All ages,76678
E10000031,Warwickshire,All ages,571010
